DErivBase_Rule,sfx,fn_backformer_one,fn_backformer_two,changepos,morph,query
dVN24,ament,ament_ateur,w_ieren,1,-ament,"[lemma=""^.*ament$"" & tag=""NN""] within <s/>"
dVN40,ateur,ament_ateur,w_ieren,1,-ateur,"[lemma=""^.*ateur$"" & lemma!=""Amateur"" & tag=""NN""] within <s/>"
dVN20,ator,ator,w_ieren,1,-ator,"[lemma=""^.*ator$"" & tag=""NN""] within <s/>"
dAN01,eA,e,e,1,-e,"[lemma=""^(?!Ge).*(?<!i|ag)e$"" & lemma!=""Seite|Gruppe|Woche|Leute|Minute|Name|Sache|Idee"" & tag=""NN""] within <s/>"
dVN04,eV,e,e,1,,
dVN08,eV,e,e,1,,
dNN58,el,el,el,0,-el,"[lemma=""^.*el$"" & lemma!=""Spiel|Kapitel|Artikel|Beispiel|Ziel|Titel|Hotel|Vogel|Kabel|Hörspiel|Auswärtsspiel|Schauspiel|Gegenbeispiel|Vorspiel|Zusammenspiel|Zwischenspiel|Wechselspiel|Anspiel|Rückspiel|Festspiel|Schlossfestspiel|Gegenspiel|Heimspiel|Zuspiel|Gewinnspiel|Planspiel|Relegationsspiel|Endspiel|Rollenspiel|Hinspiel|Freispiel|Nachspiel|Ferienspiel|Kartenspiel|Vorbereitungsspiel|Testspiel|Glücksspiel|Negativbeispiel|Pflichtspiel|Weihnachtsgewinnspiel|Ballspiel|Bespiel|Farbenspiel|Zahlenspiel|Abspiel|Stiel|Minstrel|Tentakel|Spektakel|Tegel|Aufenthaltstitel|Titel|Untertitel|Referenztitel|Vortitel|Gegentitel|Hundertstel|Übel|Gezuckel|Fluegel|Vogel|Singvogel|Schreitvogel"" & tag=""NN""] within <s/>"
dVN05,el,el,el,1,,
dNN05,er,er,er,0,-er,"[lemma=""^.*(?<!ik)er$"" & lemma!=""Wasser|Nummer|Partner|Vater|Körper|September|Oktober|November|Dezember|Tochter|Schwester|Mutter|Zimmer|Wetter|Kater"" & tag=""NN""] within <s/>"
dNN11,aner,er,er,0,,
dVN03,er,er,er,1,,
dNN28,ler,er,er,0,,
dNN59,heit,heit,heit,0,-heit,"[lemma=""^.*(h|k)eit$"" & tag=""NN""] within <s/>"
dAN02,heit,heit,heit,1,,
dAN04,igkeit,heit,heit,1,,
dAN03,keit,heit,heit,1,,
dAN11,ie,ie,ie,1,-ie,"[lemma=""^.*ie$"" & lemma!=""Familie|Linie|Cookie|Laie"" & tag=""NN""] within <s/>"
dAN12,ik,ik,ik,1,-ik,"[lemma=""^.*ik$"" & tag=""NN""] within <s/>"
dAN13,iker,iker,iker,1,-iker,"[lemma=""^.*iker$"" & tag=""NN""] within <s/>"
dAN14,ikum,ikum,ikum,1,-ikum,"[lemma=""^.*ikum$"" & tag=""NN""] within <s/>"
dNN09,ismus,ismus,ismus,0,-ismus,"[lemma=""^.*ismus$"" & tag=""NN""] within <s/>"
dAN09,ismus,ismus,ismus,1,,
dNN08,ist,ist,ist,0,-ist,"[lemma=""^.*ist$"" & lemma!=""Mist|Geist|Frist|Christ|List"" & tag=""NN""] within <s/>"
dAN15,ist,ist,ist,1,,
dVN31,ist,ist,ist,1,,
dAN16,ität,ität,ität,1,-ität,"[lemma=""^.*ität$"" & tag=""NN""] within <s/>"
dVN34,ition,ition,ition,1,-ition,"[lemma=""^.*ition$"" & tag=""NN""] within <s/>"
dNN10,ium,ium,ium,0,-ium,"[lemma=""^.*ium$"" & tag=""NN""] within <s/>"
dVN32,ium,ium,ium,1,,
dAN08,ling,ling,ling,1,-ling,"[lemma=""^.*(?<!Fee)ling$"" & tag=""NN""] within <s/>"
dAN05,nis,nis,nis,1,-nis,"[lemma=""^.*nis$"" & tag=""NN""] within <s/>"
dAN07,nis,nis,nis,1,,
dVN06,nis,nis,nis,1,,
dNN04,schaft,schaft,schaft,0,-schaft,"[lemma=""^.*schaft$"" & tag=""NN""] within <s/>"
dAN06,schaft,schaft,schaft,1,,
dVN11,schaft,schaft,schaft,1,,
dVN07,ung,ung,ung,1,-ung,"[lemma=""^.*ung$"" & tag=""NN""] within <s/>"
dVN25,age,w_ieren,w_ieren,1,-age,"[lemma=""^.*age$"" & lemma!=""Lage|Anlage|Anfrage|Nachfrage|Frage|Page|Homepage|Anlage|Grundlage|Auflage|Unterlage|Vorlage|Niederlage|Klage|Einlage|Beilage|Ablage|Anklage|Kläranlage|Zulage|Collage|Auslage|Umlage|Rücklage|Plage|Kollage|Erstauflage|Gelage|Wiederauflage|Wiedervorlage|Widerklage|Braunlage|Auswärtsniederlage|Vorauflage|Nebenanlage|Neuauflage|Einmalanlage|Auspuffanlage|Nebenklage|Zweitauflage|Gegenklage|Nichtvorlage|Malvorlage|Packungsbeilage|Schräglage|Solaranlage|anlage|Klimaanlage|Wohnanlage|Sachlage|Alarmanlage|Kapitalanlage|Sammelklage|Musikanlage|Ausgangslage|Rechtslage|Lebenslage|Wetterlage|Stereoanlage|Schieflage|Schliefanlage|Wiederanlage|Parkanlage|Gesetzesgrundlage|Bestlage|vorlage|Existenzgrundlage|Kleinkläranlage|Einmaleinlage|Datenlage|Zündanlage|Kurvenlage|Biogasanlage|Tankanlage|Multilage|Einspritzanlage|Zwischenablage|einlage|Hutablage|Nachauflage|Tanzeinlage|Selbstschussanlage|Zapfanlage|Wertanlage|Strassenlage|Atomanlage|Großwetterlage|Verwertungsanlage|Barlage|Abgasanlage|Versuchsanlage|Stadtlage|Außenanlage|Spareinlage|Einmalunterlage|Gasanlage|Waschanlage|Wasseraufbereitungsanlage|Ampelanlage|Nachlage|Steilvorlage|klage|Materiallage|Geldanlage|Schichtzulage|Toplage|Gesetzesvorlage|Multianlage|Beleuchtungsanlage|Goldanlage|Bunkeranlage|Verbrennungsanlage|Bewährungsauflage|Hanglage|Telephonanlage|Erstvorlage|Bauchlage|Erlage|Slipeinlage|Antragsunterlage|Ortsrandlage|Warnlage|Weltwirtschaftslage|Erbanlage|Ersteinlage|Nahrungsgrundlage|Wiedereinlage|Traumruhelage|Heckablage|Binnenlage|Aussichtslage|Bremsanlage|Unterlassungsklage|Nebenlage|Spielanlage|Preislage|Tonlage|Hinterlage|Zweitanlage|Offshoreanlage|Heizanlage|Informationslage|Alleinlage|Kompaktanlage|Haushaltslage|Gesetzeslage|Beweislage|Wasserreinigungsanlage|Vorabauflage|Verteidigungsanlage|Berechnungsgrundlage|Tonanlage|Belage|Diskussionsgrundlage|Formatvorlage|Selbstanklage|Untätigkeitsklage|Lernunterlage|Erstanlage|Binnenklage|Energieanlage|Finanzlage|Fertigungsanlage|Aussage|Zusage|Ansage|Vorhersage|Durchsage|Voraussage|Absage|Vorraussage|Kampfansage|Zeugenaussage|Pauschalaussage|Entsage|Geldzusage|Bildaussage|Falschaussage|Werbeaussage|Hersage|Erstaussage|Wettervorhersage|Allausage|Hervorsage|Heruntersage|Nebenaussage"" & tag=""NN""] within <s/>"
dVN21,and,w_ieren,w_ieren,1,-and,"[lemma=""^.*and$"" & lemma!=""Wand|Hand|Stand|Rand|Versand|Verband|Gegenstand|Band|Verband|Einband|Proband|Caritasverband|Vorband|Fließband|Bigband|Tonband|Förderband|Lippeverband|Armband|Klebeband|Gummiband|Gängelband|Laufband|Lieblingsband|Raiffeisenverband|Liveband|Textband|Landesverband|Haarband|Superband|Landfrauenverband|Halsband|Oberband|verband|band|Bildband|Photoband|Gedichtband|Milanband|Breitband|Punkrockband|Verbraucherverband|Blutsband|Züchterverband|Gemeindeversicherungsverband|Popband|Dachverband|Weinbauverband|Berufsverband|Kreuzband|Rockband|Urband|Gewebeband|Windelband|Polyband|Multiband|Stahlband|Kreppband|Versand|Sofortversand|Vorabversand|Analysand|Uhrenbandversand|Dokumentenversand|Nachversand|Rotersand|Buddelsand|Ottoversand|Silbersand|Zustand|Vorstand|Umstand|Abstand|Bestand|Widerstand|Verstand|Rückstand|Gegenstand|Aufstand|Stillstand|Tatbestand|Mittelstand|Wohlstand|Missstand|Beistand|Sachverstand|Fortbestand|Anstand|Zwischenstand|Notstand|Einstand|Altbestand|Wiederstand|Unterstand|Vorruhestand|Urzustand|Unverstand|Ausstand|stand|Menschenverstand|Spielstand|Luftwiederstand|Wasserstand|Übelstand|Prüfstand|Herzstillstand|Rollwiederstand|Lagerbestand|Ruhestand|Krankenstand|Dauerzustand|Originalzustand|Wissensstand|Urstand|Kontostand|Gebrauchsgegenstand|Superzustand|Handstand|Ausnahmezustand|Restbestand|Luxusgegenstand|Gesundheitszustand|Leistungsstand|Infostand|Nebengegenstand|Verleihbestand|Befehlsnotstand|Wissenstand|Tiefststand|Straftatsbestand|Lebensumstand|Fotowiederstand|vorstand|Strassenzustand|Fischbestand|Erkenntnistand|Ausrüstungsgegenstand|Viehbestand|Waffenstillstand|Ladezustand|Volksaufstand|Hausverstand|Nebenstand|Sachstand|Bahnvorstand|Messestand|Normalzustand|Vorkriegszustand|gegenstand|Dachüberstand|Gemütszustand|Wildbestand|Entwicklungsstand|Monsterwiederstand|Rechtsbeistand|Innenwiederstand|Zeitabstand|Tabellenstand|Wiedereinstand|Gesamtwiederstand|Füllstand|Gerichtsstand|Straftatbestand|Zuchtstand|Frostwiderstand|Krankheitszustand|Endstand|Farbrückstand|Bayernstand|Taxistand|Fortstand|Hydrogenisationszustand|Naturzustand|Familienstand|Aggregatzustand|Schmerzzustand|Hochstand|Krankheitsstand|Strand|Brand|Bertrand|Abbrand|Milzbrand|Hildebrand|Sonnenbrand|Unterrand|Barrand|Bildrand|Tellerrand|Interbrand|Vorderrand|Sonnenstrand|Sandstrand|Hinterrand|Pflasterstrand|Waldrand|Stadtrand|Vorderbrand|Auflagerand|Bühnenrand|Wolgastrand|Oberrand|Badestrand|Strassenrand|Südstrand|Bildschirmrand|Subbrand|Fettrand|Pfand|Unterpfand|Oberhand|Hinterhand|Rückhand|Vorhand|Treuhand|Allerhand|Vorderhand|Geisterhand|Zweithand|Rechterhand|Feuerhand|Ausland|Festland|Umland|Inland|Rußland|Vaterland|Sauerland|England|Burgenland|Hinterland|Saarland|Oberland|Vorland|Eiland|Heiland|Niederland|Weißrußland|Deutschland|Freiland|Abendland|Binnenland|Drittland|Portland|Baskenland|Havelland|Südengland|Emsland|Voigtland|Thailand|Unterland|Sudetenland|Lakeland|Bundesland|Langeland|Süddeutschland|Ostfriesland|Niemandsland|Mailand|Volland|Nordengland|Baselland|Wendland|Bioland|Leyland|Nordrußland|Mittelengland|Entwicklungsland|Vorderland|Falkland|Münsterland|Südwestengland|Dolland|Nebenland|Ederbergland|Feuerland|Südrußland|Voland|Kaufland|Proland|Westdeutschland|Alland|Heimatland|Halland|Wunderland|Solland|Osthavelland|Legoland|Rainbowland|Badland|Unland|Überland|Amiland|Grolland|Poland|Borland|Trauerland|Motoradland|Fledermausland|Nachbarland|Südland|Vogtland|Breuningerland|Stifterland|Seenland|Bullyland|Faserland|Traumland|Nordwestrußland|Billiglohnland|Flachsland|Flächenland|Gegenland|Zwergenland|Südostengland|Exportland|Gastgeberland|Großrußland|Butterland|Bonnland|Bauernland|Birkeland|Frankenland|land|Neuland|Drittweltland|Rockland|Empfängerland|Schlaraffenland|Industrieland|Willand|Dockland|Superland|Jemand|Niemand|Schmand|Aufwand|Leinwand|Einwand|Gewand|Vorwand|Rückwand|Pinwand|Hauswand|Untergewand|Hinterwand|Arbeitsaufwand|Zeitaufwand|Innenwand|Schallschutzwand|Felswand|Kinoleinwand|Glaswand|Steilwand|Pinnwand|Nebelwand|Spritzwand|Obergewand|Stellwand|Nachgewand|Sichtschutzwand|Vorderwand|Regalwand|Seitenwand|Zwischenwand|Pflegeaufwand|Käfigwand|Drittaufwand|wand|Klangwand|Plakatwand|Steinwand|Aussenwand|Zimmerwand"" & tag=""NN""] within <s/>"
dVN23,ant,w_ieren,w_ieren,1,-ant,"[lemma=""^.*ant$"" & lemma != ""Elefant|Diamant"" & tag=""NN""] within <s/>"
dVN26,anz,w_ieren,w_ieren,1,-anz,"[lemma=""^.*anz$"" & lemma!=""Schwanz|Tanz|Substanz|Bilanz|Distanz|Finanz|Instanz|Glanz|Kranz|Eleganz"" & tag=""NN""] within <s/>"
dVN39,ation,w_ieren,w_ieren,1,-ation,"[lemma=""^.*ation$"" & tag=""NN""] within <s/>"
dVN27,atur,w_ieren,w_ieren,1,-atur,"[lemma=""^.*atur$"" & lemma!=""Natur"" & tag=""NN""] within <s/>"
dVN28,ement,w_ieren,w_ieren,1,-ement,"[lemma=""^.*ement$"" & lemma!=""Zement|Element"" & tag=""NN""] within <s/>"
dVN22,end,w_ieren,w_ieren,1,-end,"[lemma=""^.*(?<!ab)end$"" & lemma!=""Abend|Jugend|Gegend|Trend|Tausend|Dutzend|Elend|Tugend|Weekend"" & tag=""NN""] within <s/>"
dVN29,ent,w_ieren,w_ieren,1,-ent,"[lemma=""^.*(?<!m)ent$"" & lemma!=""Prozent|Event|Talent|CentClient|Kontinent|Patent|Akzent|Klient|Advent|Orient"" & tag=""NN""] within <s/>"
dVN30,enz,w_ieren,w_ieren,1,-enz,"[lemma=""^.*enz$"" & tag=""NN""] within <s/>"
dVN38,eur,w_ieren,w_ieren,1,-eur,"[lemma=""^.*(?<!at|it)eur$"" & tag=""NN""] within <s/>"
dVN37,iment,w_ieren,w_ieren,1,-iment,"[lemma=""^.*iment$"" & lemma!=""Experiment"" & tag=""NN""] within <s/>"
dVN19,iteur,w_ieren,w_ieren,1,-iteur,"[lemma=""^.*iteur$"" & tag=""NN""] within <s/>"
dVN33,itur,w_ieren,w_ieren,1,-itur,"[lemma=""^.*itur$"" & lemma!=""Abitur"" & tag=""NN""] within <s/>"
