lemma,simplex
die,1
und,1
eine,0
in,1
mit,1
nicht,1
von,1
für,1
auch,1
auf,1
sich,1
zu,1
dass,1
bei,1
so,1
oder,1
als,1
an,1
noch,1
nur,1
nach,1
wenn,1
aus,1
dann,1
über,1
wie,1
schon,1
aber,1
werden,1
Jahr,1
durch,1
um,1
vor,1
mehr,1
ich,1
da,1
ja,1
gut,1
sehr,1
neu,1
sein,1
jetzt,1
groß,1
unter,1
also,1
was,1
doch,1
ganz,1
Zeit,1
nun,1
bis,1
Mensch,1
gegen,1
Tag,1
weil,1
selbst,1
heute,1
klein,1
wer,1
ohne,1
Kind,1
weit,1
denn,1
ob,1
sondern,1
seit,1
wo,1
Seite,1
etwas,1
letzt,1
sowie,1
deutsch,1
zwischen,1
eigen,1
dort,1
wohl,1
vielleicht,1
Frau,1
machen,1
Problem,1
Bild,1
Thema,1
alt,1
haben,1
ein,1
Leben,1
Uhr,1
wir,1
hoch,1
allerdings,1
welche,1
jedoch,1
nah,1
können,1
Teil,1
gar,1
zwar,1
Euro,1
Woche,1
Land,1
Spiel,1
Ende,1
Welt,1
ab,1
fast,1
Fall,1
Stadt,1
Haus,1
warum,1
sogar,1
lassen,1
Mann,1
etwa,1
nie,1
schön,1
oft,1
Art,1
Arbeit,1
Buch,1
zweit,0
neben,1
Leute,1
sagen,1
spät,1
gleich,1
Monat,1
eben,1
wegen,1
Platz,1
sehen,1
lang,1
Grund,1
Name,1
recht,1
Gott,1
jung,1
klar,1
direkt,1
Hand,1
Wort,1
Film,1
Sache,1
rund,1
tun,1
lange,1
Ziel,1
zurück,1
Person,1
Minute,1
kurz,1
damit,1
außerdem,0
Punkt,1
du,1
kaum,1
Preis,1
sonst,1
Familie,1
leicht,1
Kunde,1
Projekt,1
ebenfalls,0
Form,1
kommen,1
Doktor,1
Prozent,0
Schule,1
Artikel,1
Internet,1
stark,1
Stück,1
während,1
Auge,1
Idee,1
Hilfe,1
Ort,1
Ding,1
Programm,1
Dank,1
Gruppe,1
finden,1
Freund,1
Sinn,1
Hund,1
Inhalt,0
per,1
Rahmen,1
sofort,0
System,1
Produkt,1
pro,1
somit,0
Spaß,1
nachdem,0
lieb,1
oben,1
Auto,1
Straße,1
echt,1
Text,1
Foto,1
halt,1
obwohl,0
hinter,1
Band,1
damals,0
insgesamt,0
allein,1
Team,1
Interesse,1
Eltern,1
Folge,1
Blick,1
je,1
irgendwie,0
statt,1
ebenso,0
aufgrund,0
Kirche,1
schlecht,1
Recht,1
innerhalb,0
Wert,1
meist,1
nehmen,1
km,0
insbesondere,0
trotz,1
Weise,1
Rolle,1
Kopf,1
Chance,1
Firma,1
Gast,1
nein,1
sowohl,0
Tip,1
Stelle,1
zahlreich,0
Link,1
Markt,1
bitte,1
Liebe,1
Kosten,0
Jahrhundert,0
bald,1
Kraft,1
hin,1
gegenüber,0
Staat,1
toll,1
wobei,0
weiterhin,0
Mai,1
Zahl,1
Titel,1
Detail,1
dennoch,1
weiter,1
halten,1
jeweils,0
Autor,1
Schritt,1
übrigens,0
Farbe,1
dritt,0
Werk,1
Hotel,1
bevor,1
langsam,0
Höhe,1
Karte,1
bringen,1
zusammen,1
Klasse,1
Kontakt,1
müssen,1
modern,1
wissen,1
wann,1
Glück,1
cm,0
derzeit,0
Satz,1
Arzt,1
inzwischen,0
Wunsch,1
bleiben,1
Juni,1
Menge,1
Sprache,1
März,1
Wahl,1
morgen,1
Tod,1
Modell,1
falls,1
allgemein,0
GmbH,0
Professor,0
April,1
Jugendliche,0
Patient,1
Energie,0
Licht,1
außer,1
Video,1
laut,1
Tor,1
Boden,1
privat,1
früh,1
online,1
Regel,1
Sohn,1
Krieg,1
stellen,1
Juli,1
Reihe,1
spielen,1
helfen,1
Fan,1
Bank,1
Info,1
Grenze,1
jedenfalls,0
Suche,1
weder,1
stehen,1
interessant,1
Sonntag,0
knapp,1
indem,1
lesen,1
Samstag,0
kaufen,1
Maßnahme,0
falsch,1
Wissen,1
okay,1
selten,1
Kunst,1
Kampf,1
links,1
Pferd,1
rot,1
komplett,1
Größe,1
August,1
Fahrzeug,1
Fuß,1
offen,1
entweder,0
schreiben,1
Bitte,1
sogenannt,1
nutzen,1
führen,1
Nähe,0
soweit,0
Sicht,1
Kreis,1
schwarz,1
Saison,1
Volk,1
dank,1
Blog,1
irgendwann,0
rechts,1
Konzept,1
Luft,1
Methode,1
Gruß,1
mm,1
Service,1
alleine,1
Freude,1
Dienst,1
Stunde,1
Zitat,1
Praxis,1
fest,1
Sport,1
Stand,1
Linie,1
Netzwerk,0
Essen,1
Website,0
Prozess,1
Druck,1
fahren,1
weiß,1
Freitag,0
Start,1
Schluss,1
Grad,1
leben,1
Lauf,1
Feld,1
Song,1
Wald,1
weg,1
Kollege,1
halb,1
Quelle,1
Telefon,0
Schaden,1
Sonne,1
her,1
Netz,1
Sieg,1
dar,1
Insel,1
arbeiten,1
Rest,1
Macht,1
Risiko,1
Runde,1
Garten,1
Hälfte,1
hören,1
Reise,1
immerhin,0
weltweit,0
AG,0
stets,1
Plan,1
Liste,1
schlimm,1
Schutz,1
lernen,1
grün,1
Strecke,1
Türe,1
Zweck,1
Deutsche,0
rein,1
wieso,1
Lied,1
breit,1
Typ,1
Lust,1
Ruhe,1
Kurs,1
zeigen,1
irgendwo,0
Hab,1
Motor,1
Institut,1
Test,1
Post,1
Glaube,1
tief,1
heraus,0
suchen,1
Bau,1
Stimme,1
Sekunde,1
ändern,1
solange,0
Basis,1
Design,1
Co,0
Katze,1
inklusive,0
Thread,1
PC,0
Himmel,1
schaffen,1
Ball,1
Szene,1
Kamera,1
bislang,0
extrem,1
divers,1
wollen,1
Alternative,0
Tatsache,0
Montag,0
nett,1
kennen,1
Haut,1
Kategorie,0
Studie,0
Schiff,1
Prinzip,1
Marke,1
Konzert,1
Ebene,1
Dame,1
Fahrt,1
konkret,1
wahr,1
Maß,1
setzen,1
Software,0
Tisch,1
sowieso,0
Aspekt,1
wiederum,0
Seele,1
Junge,1
DVD,1
Tat,1
Training,0
liegen,1
ziehen,1
innen,1
CD,0
See,1
Dorf,1
Roman,1
schade,1
vorbei,0
selbe,1
Handy,1
sobald,0
Job,1
Morgen,1
Ecke,1
kg,0
Stern,1
längst,0
Adresse,1
laufen,1
Standort,0
Interview,0
Strom,1
leisten,1
Kontrolle,1
Präsident,1
niemals,0
Objekt,1
Wand,1
Amt,1
momentan,1
Schmerz,1
Rat,0
Bühne,1
Waffe,1
eng,1
denken,1
Gute,1
warten,1
empfehlen,1
Küche,1
Alltag,0
Brief,1
Schwerpunkt,0
Ware,1
Kapitel,1
Hochschule,0
Donnerstag,0
vielmehr,0
raus,1
Maschine,1
Bund,1
draußen,1
Wettbewerb,0
Jugend,1
Holz,1
Ganze,1
sprechen,1
Fläche,1
fragen,1
Kauf,1
sofern,1
Falle,1
Experte,1
mittels,0
außerhalb,0
Mail,1
danke,1
hart,1
Ohr,1
Wind,1
Theorie,0
Rede,1
Variante,1
Online,0
anhand,0
Update,0
Rand,1
Milliarde,1
Student,1
Neue,1
jederzeit,0
gemäß,1
Club,1
dick,1
Fisch,1
perfekt,1
willkommen,1
Arbeitsplatz,0
Pause,1
nochmals,0
tragen,1
Effekt,1
Demokratie,0
freuen,1
Bus,1
Gang,1
Schloss,1
Wille,1
Rücken,1
Halle,1
Initiative,0
Motto,1
froh,1
Blut,1
Krankenhaus,0
angesichts,0
Download,0
treffen,1
Therapie,0
Schuld,1
äußerst,0
Stoff,1
fein,1
Dienstag,0
bieten,1
nahezu,0
Phase,1
bisschen,1
Handel,1
Wagen,1
Radio,1
Ton,1
mobil,1
Stil,1
Treffen,1
EU,0
König,1
Perspektive,0
blau,1
Grüne,1
Strand,1
Soldat,1
Öl,1
Pflege,1
bloß,1
Jahrzehnt,0
heiß,1
teil,1
Gold,1
Bahn,1
Masse,1
vollkommen,0
los,1
Flughafen,0
Faktor,1
Büro,1
Fußball,0
Teilnahme,0
kalt,1
Rad,1
Zeitschrift,0
Länge,1
Blatt,1
reden,1
Park,1
Code,1
Partie,1
außen,1
Vogel,1
Haushalt,0
Jungs,0
ihr,1
Schrift,1
Wesen,1
fremd,1
Boot,1
Technologie,0
Atmosphäre,1
Kaffee,1
Industrie,0
Trend,1
Frieden,1
Heimat,1
glauben,1
holen,1
Konflikt,1
Standard,1
Niveau,1
nennen,1
Jude,1
Laden,1
laß,1
Schuh,1
Schreiben,1
Krise,1
Dritte,0
quasi,1
Baby,1
Glas,1
extern,1
warm,1
Brücke,1
Norden,1
Platte,1
zeit,1
wunderschön,0
informieren,1
Dach,1
sodass,0
passieren,1
Kino,1
Fernsehen,0
Pflicht,1
bezüglich,0
desto,1
Osten,1
Nase,1
Mund,1
Liga,1
Sitz,1
Fazit,1
Wechsel,1
Fleisch,1
cool,1
entgegen,0
Show,1
arm,1
Gut,1
Stufe,1
Mangel,1
Flug,1
Widerstand,0
Strategie,0
Hof,1
Vielfalt,0
ohnehin,0
Spitze,1
Story,1
Konsequenz,0
oftmals,0
essen,1
Kabel,1
Feuerwehr,0
Weihnachten,0
Rennen,1
zahlen,1
Handeln,1
dürfen,1
Fest,1
Bahnhof,0
Kompetenz,0
Zweifel,1
woher,0
schauen,1
Ring,1
Vielzahl,0
Chef,1
hinsichtlich,0
Dialog,0
böse,1
Motiv,0
Hallo,1
live,1
Tabelle,1
Branche,1
DM,0
wenden,1
Party,1
Denken,1
Ei,1
Archiv,0
wieviele,0
achten,1
bauen,1
Süden,1
Profil,1
Mut,1
Presse,1
bunt,1
Scheibe,1
App,1
zumal,0
Zahn,1
Mark,1
Zeile,1
starten,1
wählen,1
herum,0
Fluss,1
Format,0
Tasche,1
siehe,1
tot,1
Rock,1
lösen,1
weshalb,0
mehrfach,0
Marketing,0
Loch,1
Datenbank,0
Oberfläche,0
komplex,1
Grundstück,0
Plattform,1
Web,1
Regen,1
Planet,1
Workshop,0
legen,1
Event,1
Bibliothek,0
Lernen,1
stolz,1
feststellen,0
Reich,1
Frühjahr,0
Kleine,1
morgens,0
Zelle,1
Englisch,1
Lebensmittel,0
Not,1
klasse,1
Stress,1
Konto,1
Christus,1
schwach,1
rechnen,1
Modul,1
Mühe,1
schützen,1
Spiegel,1
testen,1
hervor,1
Rechtsanwalt,0
voraus,0
hilfreich,0
Höhepunkt,0
Lehre,1
Rezept,1
Schnee,1
Karriere,1
Kreuz,1
Truppe,1
sorgen,1
Frühstück,0
Respekt,1
Schatten,1
Sound,1
Sex,1
Held,1
Konkurrenz,0
Flugzeug,0
sparen,1
dabei,0
hinzu,0
Paket,1
dran,1
Linke,1
Kommune,1
Symbol,1
extra,1
Level,1
fern,1
Re,0
intern,1
Drittel,0
Maus,1
hinaus,0
Rang,1
CO,0
Philosophie,0
Last,1
stattdessen,0
Kindergarten,0
Arm,1
Feind,1
Fortschritt,0
demnächst,0
via,1
einschließlich,0
leid,1
Werkzeug,0
Debatte,1
Alkohol,1
Hafen,1
Staffel,1
Fahrrad,0
Griff,1
Bundestag,0
Studio,1
Heft,1
Messe,1
nahe,1
krank,1
golden,1
folgen,1
Glückwunsch,0
Welle,1
Note,1
Armee,1
insofern,0
Ja,1
Spruch,1
Burg,1
Highlight,0
Hauptstadt,0
dicht,1
heutzutage,0
dumm,1
Augenblick,0
Schlag,1
teils,1
korrekt,1
Parkplatz,0
fallen,1
Festplatte,0
Gas,1
Ehe,1
interessieren,1
anlässlich,0
Flasche,1
kaputt,1
Komponente,1
Ruf,1
Nutzen,1
Schuss,1
Widerspruch,0
Finale,1
bereit,1
nebenbei,0
Zeuge,1
Halbzeit,0
wohin,0
Brot,1
Symptom,1
Kredit,1
Stärke,1
Bibel,1
schließen,1
Tool,1
Ressource,1
Kandidat,0
Akku,1
Frucht,1
Phänomen,1
Bauch,1
fort,1
Tiefe,1
retten,1
Krankenkasse,0
fördern,1
Freizeit,0
entlang,0
Grundsatz,0
Klima,1
wechseln,1
Streit,1
Hose,1
Sand,1
öffnen,1
Schlüssel,1
Richtlinie,0
Großteil,0
funktionieren,1
Kampagne,1
sozusagen,0
Wurzel,1
Box,1
Milch,1
Existenz,0
Display,1
Klick,1
blöd,1
wild,1
Hochzeit,0
Weile,1
Sorge,1
Community,0
Mode,1
enorm,1
Schnitt,1
schlicht,1
Trick,1
wozu,0
Rathaus,0
kompetent,0
Tonne,1
Papst,1
prüfen,1
Zeug,1
handeln,1
teilnehmen,0
Eis,1
schicken,1
Hals,1
Bord,1
Salz,1
Innere,1
Wärme,1
Tarif,1
worauf,0
kämpfen,1
Mädel,1
Protest,1
stattfinden,0
Gottesdienst,0
Bildschirm,0
Hobby,1
Kasse,1
Klang,1
Profi,1
Kern,1
Kontext,1
Garantie,1
heißen,1
Button,1
Turm,1
Schwäche,0
rum,1
womit,1
Passwort,0
Rasse,1
Brust,1
Blume,1
keineswegs,0
Fach,1
Wandel,1
Talent,1
Schicht,1
Tanz,1
Wiese,1
Cent,1
Katalog,1
seitens,0
fit,1
Strafe,1
nunmehr,0
Transport,1
fünft,0
plus,1
sichern,1
Daumen,1
fühlen,1
Business,0
Autobahn,0
Schild,1
Konzern,1
Architekt,1
reich,1
leise,1
diskutieren,1
Willkommen,0
Probe,1
Toleranz,0
trocken,1
relevant,0
Tee,1
dienen,1
Menü,1
Reifen,1
Maßstab,0
All,1
sollen,1
doppelt,0
mehrmals,0
Block,1
Bischof,1
Tempo,1
konsequent,0
Diagnose,1
Golf,1
Jahrgang,0
Große,1
Viertel,0
Mond,1
melden,1
Es,1
Teufel,1
Lohn,1
Set,1
Witz,1
Lob,1
Single,1
Summe,1
löschen,1
Immobilie,0
namens,0
Tür,1
derart,0
Rente,1
Virus,1
Tote,1
Aktie,1
rasch,1
Innenstadt,0
Zins,1
Zielgruppe,0
Mama,1
sammeln,1
darstellen,0
Reform,1
jemals,0
Stadtteil,0
Stuhl,1
kosten,1
Gutachten,0
Substanz,1
Senior,0
wirken,1
Ticket,1
sitzen,1
wodurch,0
Buchstabe,0
SMS,0
stabil,1
These,1
Konferenz,0
installieren,1
Quote,1
hoffen,1
Status,1
Formel,1
Logo,1
ISBN,0
Kuh,1
Suchmaschine,0
Hardware,0
süß,1
Metall,1
Grundschule,0
passen,1
kümmern,1
Islam,1
hinein,0
Chor,1
weich,1
weh,1
Smartphone,0
scharf,1
Engel,1
Blüte,1
Sorte,1
Neubau,0
Werkstatt,0
Kopie,0
Kiste,1
Organ,1
präsentieren,1
woran,0
schlafen,1
Pass,1
Gitarre,1
Empfang,0
trinken,1
Stellungnahme,0
feiern,1
einander,0
dauern,1
Schatz,1
Rückkehr,0
Stichwort,0
Resultat,0
Senat,1
Board,1
exakt,1
Mord,1
Motorrad,0
Leid,1
zufolge,0
Investor,0
Studiengang,0
Tausend,1
Küste,1
Norm,1
prima,1
drin,1
sterben,1
gratis,1
Humor,1
Akademie,0
Pkw,0
spontan,1
Interessent,0
Schlaf,1
Fokus,1
Leib,1
Handwerk,0
grau,1
Moderator,0
Impuls,1
Wolke,1
wofür,0
Droge,1
Böse,1
dünn,1
Kleid,1
Zoll,1
Lampe,1
Katastrophe,1
fliegen,1
still,1
runter,0
Kette,1
Route,1
Front,1
Feature,1
beziehungsweise,0
auseinander,0
Windows,1
Jesu,1
Flucht,1
schlagen,1
Laune,1
Chemie,0
Ehre,1
stärken,1
ehe,1
Breite,1
Hut,1
Kurve,1
West,1
qm,0
Tendenz,0
Bundeswehr,0
Nazi,1
bundesweit,0
Lippe,1
hübsch,1
Landtag,0
Interessierte,0
Premiere,1
reagieren,1
Favorit,1
Kohle,1
Support,1
glatt,1
Bundesliga,0
werfen,1
Fett,1
Duft,1
fair,1
Demo,1
Lizenz,1
Grab,1
Treppe,1
öfters,1
streng,1
Kerl,1
grob,1
zwischendurch,0
Balkon,1
Muss,1
samt,1
anstatt,0
Kanton,1
Schwert,1
Provinz,1
Notebook,0
Kumpel,1
Sturm,1
Kugel,1
dorthin,0
Distanz,0
Monitor,0
Fotografie,0
spüren,1
Tempel,1
Air,1
Nord,1
Bit,1
Live,1
Lücke,1
Flügel,1
Recherche,1
Welpe,1
Hütte,1
Allgemeine,0
zweitens,0
Bogen,1
Rohstoff,0
wünschen,1
Menschenrecht,0
fehlen,1
teilen,1
müde,1
Obst,1
Chaos,1
Armut,1
Wettkampf,0
Fax,1
Milliarden,0
Ministerpräsident,0
Frühling,1
Datenschutz,0
Zelt,1
Apfel,1
Hitze,1
Finanz,1
Terrasse,1
Performance,0
wirksam,0
DSL,0
Pilot,1
Muskel,1
Ferien,1
Handbuch,0
doof,1
Fotograf,0
drehen,1
Modus,1
liefern,1
Flüchtling,0
Feedback,0
klären,1
Möbel,1
Altstadt,0
Protokoll,1
Apotheke,1
Sponsor,0
Bilanz,1
zurecht,0
lachen,1
Müll,1
Tafel,1
schuld,1
Decke,1
Sünde,1
Direktor,0
hängen,1
Diplom,1
Broschüre,1
Spaziergang,0
Wohl,1
keinesfalls,0
Stock,1
Villa,1
Laptop,0
Alte,1
Pflanze,1
Topf,1
gleichermaßen,0
Rätsel,1
Kongress,1
Können,1
seltsam,0
Pfad,1
Account,1
intelligent,0
Regie,0
Hauptsache,0
Stamm,1
reduzieren,1
Leiden,1
Gleiche,1
Episode,1
Zone,1
akzeptieren,1
vielfach,0
fassen,1
leiden,1
Hölle,1
Jury,1
Kid,1
posten,1
Friedhof,0
Label,1
Papa,1
Schaf,1
unterhalb,0
Löwe,1
Stall,1
OP,0
Chip,1
Wohnen,1
Miete,1
bilden,1
Lächeln,1
Konsole,1
zugunsten,0
Labor,1
Sachverhalt,0
LED,0
Folie,1
USB,0
wachsen,1
messen,1
Track,1
Produzent,0
brauchen,1
Match,1
Jagd,1
Gramm,1
effizient,0
Höhle,1
weis,1
Fremde,1
Pirat,1
Laufen,1
Weiß,1
Franke,1
Pool,1
braun,1
Letztere,0
wovon,0
Hit,1
Gipfel,1
Budget,1
Winkel,1
Brille,1
Rose,1
Übrige,0
reichen,1
kühl,1
Objektiv,0
weitaus,0
Psychologie,0
Hundert,1
solide,1
Kraut,1
Prognose,1
steigern,1
registrieren,1
flach,1
Oma,1
Bad,1
Feiertag,0
Streifen,1
Kulisse,1
Heim,1
Baustelle,0
Kartoffel,1
Jazz,1
Wunde,1
Kühlschrank,0
Wesentliche,0
Fülle,1
Helm,1
Brett,1
Franzose,1
steigen,1
Café,1
Sack,1
Börse,1
gucken,1
Magen,1
Award,1
merken,1
Reiz,1
Mythos,1
Würde,1
Fonds,1
Port,1
Plakat,0
stecken,1
Bug,1
DJ,0
Watt,1
investieren,1
trennen,1
zuzüglich,0
Kürze,1
Faden,1
töten,1
Kälte,1
realisieren,1
Grundgesetz,0
Schlange,1
heran,1
konzentrieren,1
arg,1
singen,1
schlau,1
Referent,0
Wut,1
Missbrauch,0
Dusche,1
Differenz,1
sanft,1
Hass,1
Haufe,0
Bundesrat,0
Standpunkt,0
Tank,1
Frequenz,0
Dom,1
Prophet,1
Bass,1
Supermarkt,0
Kante,1
Nationalpark,0
Fachleute,0
Smiley,1
CDs,0
elegant,0
halbwegs,0
Gras,1
Strich,1
Brand,1
Reichweite,0
drücken,1
Sehnsucht,0
frei,1
treu,1
oberhalb,0
kontrollieren,1
Mahlzeit,0
pur,1
Staub,1
infolge,0
Kranke,1
Segen,1
Diabetes,1
Kompromiss,1
jenseits,0
schief,1
stimmen,1
Wüste,1
Schrank,1
Ostsee,0
Mod,1
profitieren,1
probieren,1
Posting,0
wonach,1
Sensor,1
insoweit,0
Patch,1
Junior,0
Laie,1
Kunststoff,0
Referat,0
Kontinent,1
Fell,1
Melodie,0
Rhythmus,1
Hase,1
akut,1
inmitten,1
fett,1
Komfort,1
bitten,1
Rückstand,0
organisieren,1
Fakt,1
Huhn,1
Krone,1
greifen,1
Ostern,1
Allergie,0
Maske,1
Teich,1
rege,1
Pro,1
Pech,1
jahrelang,0
anstelle,0
Transparenz,0
Arena,1
größtenteils,0
Halt,1
Käse,1
Index,1
Akt,1
Kunstwerk,0
Deckel,1
separat,1
Tagebuch,0
Leiche,1
Schlacht,1
Säule,1
lieben,1
Horizont,1
Dreck,1
unten,1
Wolf,1
Kilo,1
Salat,1
Rücksicht,0
inwieweit,0
Ensemble,0
wach,1
permanent,0
Posten,1
Theologie,0
Gabe,1
Fachkraft,0
Eisen,1
Lehrkraft,0
Fassade,1
Chat,1
WLAN,0
Hast,1
Naturschutz,0
Spielzeug,0
seiten,1
Schau,1
Stille,1
Phantasie,0
Rückseite,0
Kerze,1
High,1
Straftat,0
Intelligenz,0
Kapitän,1
Gnade,1
hierzulande,0
Onkel,1
Fahne,1
Toilette,1
Diesel,1
Alt,1
Blitz,1
Münze,1
voran,0
Bruch,1
Alp,1
Teppich,1
Kontrast,1
Sparkasse,0
äußern,1
Rohr,1
Konkurrent,1
Drama,1
Akzeptanz,0
Lady,1
speichern,1
richten,1
studieren,1
Sportart,0
planen,1
Mönch,1
Notfall,0
Hügel,1
sechst,0
Comic,1
soeben,0
Magie,0
Jacke,1
kriegen,1
Nagel,1
CPU,0
Sektor,1
festgelegt,0
Gleichgewicht,0
Dutzend,1
Tropfen,1
Ferne,1
Paradies,1
Kamerad,1
Ex,1
Elite,1
Release,0
Richtige,1
Leinwand,0
Diät,1
daheim,0
schätzen,1
Fachhochschule,0
senden,1
Süd,1
Gunst,1
gefangen,0
üben,1
ambulant,0
woanders,0
Instanz,0
Schalk,1
Lack,1
Rabatt,1
Fund,1
Defizit,1
Wurf,1
Tunnel,1
Bucht,1
Pfeil,1
Flamme,1
Zaun,1
Epoche,1
Schokolade,1
Zwang,1
Lektüre,1
Nebel,1
Creme,1
Pilz,1
Zwerg,1
Shop,1
Volumen,1
Bach,1
schick,1
Zigarette,1
weiterhelfen,0
Arsch,1
Landrat,0
Mühle,1
explizit,1
treten,1
Client,1
Justiz,1
Bonus,1
Kai,1
nebst,0
Achse,1
trainieren,1
Onlineshop,0
Filiale,1
Schmuck,1
wiederholen,0
Stolz,1
Jährig,0
feucht,1
Ofen,1
Großstadt,0
mithilfe,0
Pixel,1
Hauptbahnhof,0
Model,1
Zwiebel,1
kompakt,1
Freie,1
Tasse,1
Fürst,1
Resonanz,0
Ambiente,1
Los,1
Reserve,1
produzieren,1
Heilige,1
Finanzamt,0
nirgends,1
Bauwerk,0
Torwart,0
Fitness,0
Charme,1
eigens,0
ehemals,0
WC,0
integrieren,1
Lärm,1
Coach,1
Lok,1
allenfalls,0
buchen,1
Schöne,1
schießen,1
blind,1
drinnen,0
ran,1
Mechanismus,1
Atem,1
Arzneimittel,0
Schlauch,1
schenken,1
seinerzeit,0
Taxi,1
Knopf,1
Kapelle,1
Zoo,1
Sauna,1
aktivieren,1
Käfig,1
Felge,1
laden,1
Allianz,1
Präsenz,0
Layout,0
Russe,1
Hang,1
Schiene,1
allesamt,0
Vampir,1
Sofa,1
Extra,1
satt,1
Lexikon,1
wiederholt,0
Audio,1
Haken,1
gen,1
Prozessor,0
Tante,1
Schreibtisch,0
Philosoph,1
zart,1
Felsen,1
Cookie,1
Marathon,0
Brunnen,1
Dankeschön,0
Tuch,1
indes,0
Kneipe,1
Dämon,1
Terror,1
Plus,1
Wohlbefinden,0
Wohnort,0
Tumor,1
Faust,1
nieder,1
Kommando,1
steil,1
senken,1
Moderne,1
treiben,1
souverän,1
Rundfunk,0
Wirkstoff,0
nirgendwo,0
Lebewesen,0
Ideologie,0
Stirn,1
Psychotherapie,0
Wahnsinn,0
klicken,1
Hürde,1
Nahrungsmittel,0
Harmonie,0
Zweite,1
Cup,1
Bock,1
Pille,1
steuern,1
Wahlkampf,0
krass,1
Review,1
Glanz,1
Akzent,1
Orden,1
Patent,1
Trinken,1
Zettel,1
Schale,1
Same,1
Trikot,1
Türke,1
Kraftwerk,0
Dozent,0
Sattel,1
Camp,1
zählen,1
Rückgang,0
Lehrgang,0
Hz,0
Therapeut,0
finanzieren,1
binnen,1
Güte,1
präsent,0
Schweigen,1
Mehl,1
Saft,1
Stadtwerk,0
Rucksack,0
Luxus,1
Export,1
Luke,1
Duell,1
stören,1
zivil,1
Kostüm,1
Suppe,1
identifizieren,1
Crew,1
Gaststätte,0
letztens,0
prominent,0
meinen,1
konstant,1
Palette,1
mild,1
worum,1
Teig,1
Graf,1
happy,1
Wild,1
Boy,1
Reis,1
Knoten,1
Gleis,1
Wirken,1
Effizienz,0
Ast,1
Variable,1
reisen,1
exzellent,0
regelrecht,0
Flecken,1
Diskurs,1
