sfx,lemma,n_tokens_in_sample,juncture,junc_prob,junc_prob_token
schaft,Ärzteschaft,2,es,0.0049192390682315824,0.009838478136463165
nis,Bündnis,13,dn,0.0,0.0
heit,Christenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
nis,Eingeständnis,2,dn,0.0,0.0
heit,Einheit,24,nh,3.263117639229065e-06,7.831482334149756e-05
nis,Einverständnis,5,dn,0.0,0.0
heit,Einzelheit,2,lh,8.320778088960313e-06,1.6641556177920626e-05
heit,Feigheit,1,gh,0.00011102756986153833,0.00011102756986153833
schaft,Genossenschaft,11,ns,0.005648159418212446,0.06212975360033691
nis,Geständnis,3,dn,0.0,0.0
heit,Gewohnheit,4,nh,3.263117639229065e-06,1.305247055691626e-05
heit,Gottheit,3,th,0.00315676206875349,0.00947028620626047
heit,Hoheit,2,oh,0.0012121902288023427,0.0024243804576046853
schaft,Komplizenschaft,1,ns,0.005648159418212446,0.005648159418212446
heit,Mehrheit,10,rh,6.10900876295475e-05,0.0006109008762954749
heit,Menschheit,8,hh,0.0,0.0
nis,Missverständnis,13,dn,0.0,0.0
heit,Müdigkeit,1,gk,0.0,0.0
schaft,Patenschaft,5,ns,0.005648159418212446,0.028240797091062232
nis,Säumnis,1,mn,2.875675158877349e-05,2.875675158877349e-05
schaft,Studentenschaft,1,ns,0.005648159418212446,0.005648159418212446
heit,Trägheit,1,gh,0.00011102756986153833,0.00011102756986153833
nis,Missverhältnis,1,tn,0.0,0.0
nis,Verhängnis,1,gn,0.000609977977493766,0.000609977977493766
nis,Versäumnis,4,mn,2.875675158877349e-05,0.00011502700635509396
nis,Unverständnis,5,dn,0.0,0.0
nis,Verständnis,65,dn,0.0,0.0
heit,Weisheit,2,sh,0.00037139410464302844,0.0007427882092860569
heit,Wenigkeit,2,gk,0.0,0.0
schaft,Weiberwirtschaft,1,ts,0.0003651000785788168,0.0003651000785788168
nis,Zugeständnis,1,dn,0.0,0.0
schaft,Anwartschaft,1,ts,0.0003651000785788168,0.0003651000785788168
nis,Befugnis,7,gn,0.000609977977493766,0.004269845842456362
heit,Durchhörbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Gerichtsbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Reissfestigkeit,1,gk,0.0,0.0
nis,Zerwürfnis,1,fn,2.8682057103975514e-05,2.8682057103975514e-05
schaft,Obergesellschaft,1,ls,0.00034504351555827035,0.00034504351555827035
heit,Schnauzigkeit,1,gk,0.0,0.0
heit,Angelegenheit,9,nh,3.263117639229065e-06,2.9368058753061587e-05
schaft,Vorherrschaft,3,rs,0.0017554444668549775,0.0052663334005649326
heit,Geschicklichkeit,2,hk,0.0,0.0
heit,Bequemlichkeit,1,hk,0.0,0.0
heit,Vorgreiflichkeit,1,hk,0.0,0.0
heit,Gepflogenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Annehmlichkeit,1,hk,0.0,0.0
heit,Begebenheit,3,nh,3.263117639229065e-06,9.789352917687194e-06
heit,Beziehungslosigkeit,1,gk,0.0,0.0
heit,Ungereimtheit,1,th,0.00315676206875349,0.00315676206875349
heit,Verarbeitbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Betriebsamkeit,1,mk,0.0,0.0
heit,Erregbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Begehrlichkeit,1,hk,0.0,0.0
schaft,Nacherbschaft,1,bs,0.00020405720670823863,0.00020405720670823863
schaft,Mitleidenschaft,1,ns,0.005648159418212446,0.005648159418212446
heit,Hartherzigkeit,1,gk,0.0,0.0
heit,Unstimmigkeit,1,gk,0.0,0.0
heit,Gottverlassenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Großherzigkeit,1,gk,0.0,0.0
heit,Zahlungsfähigkeit,1,gk,0.0,0.0
heit,Ordnungswidrigkeit,1,gk,0.0,0.0
heit,Straflosigkeit,1,gk,0.0,0.0
heit,Fettleibigkeit,1,gk,0.0,0.0
heit,Ruchlosigkeit,1,gk,0.0,0.0
heit,Nachgiebigkeit,1,gk,0.0,0.0
heit,Sprachigkeit,1,gk,0.0,0.0
nis,Bedrängnis,3,gn,0.000609977977493766,0.001829933932481298
heit,Verhaltensauffälligkeit,1,gk,0.0,0.0
heit,Berufsunfähigkeit,1,gk,0.0,0.0
nis,Ereignis,60,gn,0.000609977977493766,0.03659867864962596
heit,Wiederverwendbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Zweckmässigkeit,1,gk,0.0,0.0
heit,Gesetzmäßigkeit,2,gk,0.0,0.0
schaft,Gemeinschaft,70,ns,0.005648159418212446,0.39537115927487126
heit,Unverträglichkeit,1,hk,0.0,0.0
heit,Unachtsamkeit,1,mk,0.0,0.0
heit,Benommenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
nis,Gleichnis,2,hn,0.0017280850334316091,0.0034561700668632182
schaft,Errungenschaft,7,ns,0.005648159418212446,0.039537115927487126
heit,Unbilligkeit,1,gk,0.0,0.0
heit,Zahlungsunfähigkeit,2,gk,0.0,0.0
heit,Werbewirksamkeit,1,mk,0.0,0.0
heit,Schwerhörigkeit,1,gk,0.0,0.0
heit,Angehörigkeit,2,gk,0.0,0.0
heit,Abgeschiedenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
schaft,Rechenschaft,1,ns,0.005648159418212446,0.005648159418212446
nis,Hemmnis,2,mn,2.875675158877349e-05,5.751350317754698e-05
nis,Bedürfnis,58,fn,2.8682057103975514e-05,0.0016635593120305798
heit,Standfestigkeit,1,gk,0.0,0.0
heit,Überparteilichkeit,1,hk,0.0,0.0
heit,Unanständigkeit,1,gk,0.0,0.0
heit,Brüderlichkeit,1,hk,0.0,0.0
heit,Gutgläubigkeit,1,gk,0.0,0.0
heit,Geschwindigkeit,21,gk,0.0,0.0
heit,Rechtschaffenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Ausweglosigkeit,1,gk,0.0,0.0
heit,Beschaffenheit,2,nh,3.263117639229065e-06,6.52623527845813e-06
schaft,Vormundschaft,2,ds,9.379533344818597e-05,0.00018759066689637193
heit,Erdigkeit,1,gk,0.0,0.0
heit,Verdorbenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Freizügigkeit,1,gk,0.0,0.0
heit,Unzulänglichkeit,1,hk,0.0,0.0
heit,Jungfräulichkeit,1,hk,0.0,0.0
nis,Zeugnis,21,gn,0.000609977977493766,0.012809537527369085
heit,Vollstreckbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Einfallslosigkeit,1,gk,0.0,0.0
heit,Mässigkeit,1,gk,0.0,0.0
heit,Fremdenfeindlichkeit,1,hk,0.0,0.0
heit,Unterlegenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Zerrissenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Benutzbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Geschäftigkeit,1,gk,0.0,0.0
heit,Anhänglichkeit,2,hk,0.0,0.0
heit,Bedienbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Darstellbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
nis,Gedächtnis,12,tn,0.0,0.0
heit,Unsportlichkeit,1,hk,0.0,0.0
heit,Versöhnlichkeit,1,hk,0.0,0.0
heit,Geborgenheit,3,nh,3.263117639229065e-06,9.789352917687194e-06
heit,Kurzsichtigkeit,1,gk,0.0,0.0
nis,Erfordernis,3,rn,0.0027600309073026897,0.008280092721908069
heit,Standhaftigkeit,1,gk,0.0,0.0
heit,Achtsamkeit,2,mk,0.0,0.0
heit,Schlaflosigkeit,2,gk,0.0,0.0
schaft,Gewerkschaft,17,ks,4.532517592802162e-05,0.0007705279907763675
heit,Wehrlosigkeit,1,gk,0.0,0.0
nis,Erschwernis,1,rn,0.0027600309073026897,0.0027600309073026897
heit,Sterblichkeit,1,hk,0.0,0.0
heit,Widrigkeit,2,gk,0.0,0.0
heit,Behaglichkeit,1,hk,0.0,0.0
heit,Kinderlosigkeit,1,gk,0.0,0.0
heit,Barmherzigkeit,3,gk,0.0,0.0
heit,Abwesenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Eitelkeit,1,lk,0.0008055240758149607,0.0008055240758149607
nis,Ergebnis,137,bn,0.0,0.0
schaft,Gefangenschaft,3,ns,0.005648159418212446,0.016944478254637338
nis,Gefängnis,15,gn,0.000609977977493766,0.00914966966240649
heit,Beharrlichkeit,1,hk,0.0,0.0
schaft,Gefolgschaft,1,gs,3.5387684157638845e-05,3.5387684157638845e-05
heit,Verwertbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
nis,Bekenntnis,13,tn,0.0,0.0
heit,Bedürftigkeit,1,gk,0.0,0.0
heit,Unvereinbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Willigkeit,1,gk,0.0,0.0
heit,Wachsamkeit,2,mk,0.0,0.0
nis,Hindernis,19,rn,0.0027600309073026897,0.052440587238751106
schaft,Machenschaft,4,ns,0.005648159418212446,0.022592637672849785
heit,Aussichtslosigkeit,1,gk,0.0,0.0
schaft,Liegenschaft,4,ns,0.005648159418212446,0.022592637672849785
schaft,Gesandtschaft,1,ts,0.0003651000785788168,0.0003651000785788168
heit,Weltoffenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Unentbehrlichkeit,1,hk,0.0,0.0
heit,Verwendbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Kühnheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
schaft,Pilgerschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Streitigkeit,4,gk,0.0,0.0
heit,Tauglichkeit,1,hk,0.0,0.0
schaft,Gesellschaft,174,ls,0.00034504351555827035,0.06003757170713904
heit,Langlebigkeit,1,gk,0.0,0.0
heit,Lauheit,1,uh,0.0025197728153931124,0.0025197728153931124
nis,Verhältnis,143,tn,0.0,0.0
heit,Ungenauigkeit,2,gk,0.0,0.0
heit,Rechtmäßigkeit,1,gk,0.0,0.0
heit,Taubheit,1,bh,0.0,0.0
heit,Aufrichtigkeit,1,gk,0.0,0.0
heit,Vergessenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
nis,Ersparnis,7,rn,0.0027600309073026897,0.01932021635111883
heit,Offenkundigkeit,1,gk,0.0,0.0
heit,Vereinbarkeit,3,rk,0.0020318096851983654,0.006095429055595096
heit,Unverschämtheit,1,th,0.00315676206875349,0.00315676206875349
heit,Lässigkeit,1,gk,0.0,0.0
schaft,Marktführerschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Hoffnungslosigkeit,1,gk,0.0,0.0
schaft,Wanderschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Verträglichkeit,4,hk,0.0,0.0
heit,Geräumigkeit,1,gk,0.0,0.0
nis,Ärgernis,1,rn,0.0027600309073026897,0.0027600309073026897
nis,Empfängnis,1,gn,0.000609977977493766,0.000609977977493766
heit,Flüchtigkeit,1,gk,0.0,0.0
schaft,Botschaft,20,ts,0.0003651000785788168,0.0073020015715763355
heit,Unverwechselbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
schaft,Staatsanwaltschaft,12,ts,0.0003651000785788168,0.004381200942945801
heit,Zeitlosigkeit,1,gk,0.0,0.0
nis,Finsternis,10,rn,0.0027600309073026897,0.027600309073026897
heit,Stummheit,1,mh,0.0,0.0
heit,Haltbarkeit,2,rk,0.0020318096851983654,0.004063619370396731
heit,Lesbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
schaft,Brautschaft,1,ts,0.0003651000785788168,0.0003651000785788168
heit,Fahrlässigkeit,1,gk,0.0,0.0
heit,Vertraulichkeit,1,hk,0.0,0.0
heit,Vorteilhaftigkeit,1,gk,0.0,0.0
heit,Leiblichkeit,1,hk,0.0,0.0
heit,Tapferkeit,2,rk,0.0020318096851983654,0.004063619370396731
heit,Zumutbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Unzufriedenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Ungleichheit,3,hh,0.0,0.0
heit,Beständigkeit,1,gk,0.0,0.0
heit,Heiterkeit,4,rk,0.0020318096851983654,0.008127238740793461
heit,Feindlichkeit,3,hk,0.0,0.0
heit,Glaubwürdigkeit,2,gk,0.0,0.0
heit,Kostbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
nis,Erlaubnis,26,bn,0.0,0.0
schaft,Urheberschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Minderheit,7,rh,6.10900876295475e-05,0.0004276306134068325
schaft,Weltmeisterschaft,9,rs,0.0017554444668549775,0.015799000201694797
heit,Beweglichkeit,2,hk,0.0,0.0
heit,Lebhaftigkeit,1,gk,0.0,0.0
nis,Wagnis,2,gn,0.000609977977493766,0.001219955954987532
nis,Verzeichnis,49,hn,0.0017280850334316091,0.08467616663814885
schaft,Verwandtschaft,3,ts,0.0003651000785788168,0.0010953002357364503
heit,Arbeitslosigkeit,3,gk,0.0,0.0
heit,Würdigkeit,6,gk,0.0,0.0
schaft,Grafschaft,5,fs,3.916616248905148e-06,1.958308124452574e-05
heit,Umweltfreundlichkeit,1,hk,0.0,0.0
heit,Zugehörigkeit,6,gk,0.0,0.0
heit,Unbewusstheit,1,th,0.00315676206875349,0.00315676206875349
heit,Frechheit,1,hh,0.0,0.0
schaft,Belegschaft,3,gs,3.5387684157638845e-05,0.00010616305247291653
heit,Rauhigkeit,1,gk,0.0,0.0
heit,Geistlichkeit,1,hk,0.0,0.0
heit,Gelassenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
schaft,Hörerschaft,1,rs,0.0017554444668549775,0.0017554444668549775
schaft,Landwirtschaft,20,ts,0.0003651000785788168,0.0073020015715763355
nis,Vorkommnis,2,mn,2.875675158877349e-05,5.751350317754698e-05
heit,Machbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
schaft,Kameradschaft,2,ds,9.379533344818597e-05,0.00018759066689637193
heit,Hässlichkeit,1,hk,0.0,0.0
heit,Fähigkeit,41,gk,0.0,0.0
nis,Erzeugnis,8,gn,0.000609977977493766,0.004879823819950128
heit,Verrücktheit,1,th,0.00315676206875349,0.00315676206875349
heit,Faulheit,2,lh,8.320778088960313e-06,1.6641556177920626e-05
nis,Geschehnis,5,hn,0.0017280850334316091,0.008640425167158046
schaft,Schwangerschaft,18,rs,0.0017554444668549775,0.031598000403389594
nis,Bildnis,2,dn,0.0,0.0
schaft,Leidenschaft,11,ns,0.005648159418212446,0.06212975360033691
heit,Übersichtlichkeit,1,hk,0.0,0.0
heit,Räumlichkeit,4,hk,0.0,0.0
heit,Empfindlichkeit,2,hk,0.0,0.0
heit,Flüssigkeit,4,gk,0.0,0.0
heit,Gegebenheit,4,nh,3.263117639229065e-06,1.305247055691626e-05
heit,Kompliziertheit,1,th,0.00315676206875349,0.00315676206875349
heit,Klugheit,1,gh,0.00011102756986153833,0.00011102756986153833
heit,Bitterkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Verbindlichkeit,1,hk,0.0,0.0
heit,Feuchtigkeit,4,gk,0.0,0.0
heit,Pünktlichkeit,1,hk,0.0,0.0
heit,Einigkeit,1,gk,0.0,0.0
heit,Göttlichkeit,1,hk,0.0,0.0
heit,Vertrautheit,1,th,0.00315676206875349,0.00315676206875349
heit,Überlegenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
schaft,Erbschaft,1,bs,0.00020405720670823863,0.00020405720670823863
nis,Geheimnis,34,mn,2.875675158877349e-05,0.0009777295540182988
heit,Unsicherheit,3,rh,6.10900876295475e-05,0.0001832702628886425
heit,Gelegenheit,24,nh,3.263117639229065e-06,7.831482334149756e-05
heit,Großzügigkeit,1,gk,0.0,0.0
heit,Gerechtigkeit,12,gk,0.0,0.0
heit,Sachlichkeit,1,hk,0.0,0.0
heit,Fröhlichkeit,1,hk,0.0,0.0
schaft,Arbeiterschaft,2,rs,0.0017554444668549775,0.003510888933709955
heit,Erreichbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Eigenständigkeit,1,gk,0.0,0.0
schaft,Barschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Fachlichkeit,1,hk,0.0,0.0
heit,Anwesenheit,3,nh,3.263117639229065e-06,9.789352917687194e-06
schaft,Trägerschaft,1,rs,0.0017554444668549775,0.0017554444668549775
schaft,Anhängerschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Übelkeit,2,lk,0.0008055240758149607,0.0016110481516299214
heit,Ehrenamtlichkeit,1,hk,0.0,0.0
heit,Örtlichkeit,1,hk,0.0,0.0
heit,Sanftheit,1,th,0.00315676206875349,0.00315676206875349
nis,Behältnis,1,tn,0.0,0.0
heit,Zugänglichkeit,2,hk,0.0,0.0
schaft,Feindschaft,4,ds,9.379533344818597e-05,0.00037518133379274386
heit,Zuverlässigkeit,3,gk,0.0,0.0
heit,Wirksamkeit,3,mk,0.0,0.0
heit,Angemessenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Lebendigkeit,1,gk,0.0,0.0
heit,Gültigkeit,3,gk,0.0,0.0
heit,Verständlichkeit,1,hk,0.0,0.0
heit,Zufälligkeit,1,gk,0.0,0.0
heit,Schlichtheit,1,th,0.00315676206875349,0.00315676206875349
heit,Unmöglichkeit,1,hk,0.0,0.0
schaft,Nachbarschaft,4,rs,0.0017554444668549775,0.00702177786741991
heit,Mächtigkeit,1,gk,0.0,0.0
heit,Abhängigkeit,8,gk,0.0,0.0
heit,Weiblichkeit,2,hk,0.0,0.0
heit,Süßigkeit,1,gk,0.0,0.0
nis,Erlebnis,52,bn,0.0,0.0
heit,Einzigartigkeit,1,gk,0.0,0.0
schaft,Fachschaft,3,hs,0.00031459910615397763,0.000943797318461933
heit,Selbständigkeit,2,gk,0.0,0.0
schaft,Pflegschaft,1,gs,3.5387684157638845e-05,3.5387684157638845e-05
nis,Wildnis,6,dn,0.0,0.0
heit,Traurigkeit,2,gk,0.0,0.0
schaft,Meisterschaft,29,rs,0.0017554444668549775,0.05090788953879435
heit,Krankheit,40,kh,1.546769640845943e-05,0.0006187078563383772
heit,Aufmerksamkeit,17,mk,0.0,0.0
heit,Trockenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Helligkeit,3,gk,0.0,0.0
heit,Beliebtheit,2,th,0.00315676206875349,0.00631352413750698
heit,Verbundenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Dummheit,2,mh,0.0,0.0
heit,Ewigkeit,1,gk,0.0,0.0
heit,Wertigkeit,1,gk,0.0,0.0
schaft,Vorstandschaft,1,ds,9.379533344818597e-05,9.379533344818597e-05
heit,Nachhaltigkeit,4,gk,0.0,0.0
heit,Vielfältigkeit,1,gk,0.0,0.0
heit,Verfügbarkeit,3,rk,0.0020318096851983654,0.006095429055595096
schaft,Präsidentschaft,1,ts,0.0003651000785788168,0.0003651000785788168
heit,Staatlichkeit,1,hk,0.0,0.0
heit,Freundlichkeit,3,hk,0.0,0.0
schaft,Bereitschaft,18,ts,0.0003651000785788168,0.006571801414418702
nis,Kenntnis,81,tn,0.0,0.0
heit,Geilheit,2,lh,8.320778088960313e-06,1.6641556177920626e-05
heit,Tätigkeit,30,gk,0.0,0.0
heit,Dunkelheit,2,lh,8.320778088960313e-06,1.6641556177920626e-05
heit,Feinheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Zuständigkeit,5,gk,0.0,0.0
schaft,Brüderschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Selbstverständlichkeit,1,hk,0.0,0.0
schaft,Leserschaft,2,rs,0.0017554444668549775,0.003510888933709955
heit,Natürlichkeit,1,hk,0.0,0.0
heit,Ehrlichkeit,1,hk,0.0,0.0
heit,Unabhängigkeit,4,gk,0.0,0.0
heit,Wirtschaftlichkeit,4,hk,0.0,0.0
heit,Vollständigkeit,6,gk,0.0,0.0
heit,Zufriedenheit,5,nh,3.263117639229065e-06,1.6315588196145326e-05
heit,Gesundheit,27,dh,2.543550351367654e-05,0.0006867585948692666
nis,Erkenntnis,68,tn,0.0,0.0
heit,Fertigkeit,3,gk,0.0,0.0
schaft,Bürgerschaft,10,rs,0.0017554444668549775,0.017554444668549773
schaft,Wissenschaft,83,ns,0.005648159418212446,0.46879723171163307
heit,Schwierigkeit,10,gk,0.0,0.0
schaft,Partnerschaft,14,rs,0.0017554444668549775,0.024576222535969687
schaft,Sohnschaft,1,ns,0.005648159418212446,0.005648159418212446
heit,Wahrheit,8,rh,6.10900876295475e-05,0.00048872070103638
heit,Gewissheit,2,sh,0.00037139410464302844,0.0007427882092860569
heit,Vergangenheit,23,nh,3.263117639229065e-06,7.50517057022685e-05
heit,Festigkeit,1,gk,0.0,0.0
heit,Knappheit,1,ph,0.0009438932649340373,0.0009438932649340373
heit,Seltenheit,3,nh,3.263117639229065e-06,9.789352917687194e-06
heit,Wahrscheinlichkeit,5,hk,0.0,0.0
schaft,Körperschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Notwendigkeit,9,gk,0.0,0.0
schaft,Autorschaft,1,rs,0.0017554444668549775,0.0017554444668549775
schaft,Gerätschaft,3,ts,0.0003651000785788168,0.0010953002357364503
schaft,Mitarbeiterschaft,1,rs,0.0017554444668549775,0.0017554444668549775
schaft,Vaterschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Langsamkeit,2,mk,0.0,0.0
schaft,Mutterschaft,1,rs,0.0017554444668549775,0.0017554444668549775
heit,Gesamtheit,2,th,0.00315676206875349,0.00631352413750698
heit,Allgemeinheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
schaft,Elternschaft,1,ns,0.005648159418212446,0.005648159418212446
heit,Häufigkeit,3,gk,0.0,0.0
heit,Öffentlichkeit,21,hk,0.0,0.0
heit,Ähnlichkeit,5,hk,0.0,0.0
heit,Offenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Besonderheit,6,rh,6.10900876295475e-05,0.000366540525777285
schaft,Freundschaft,15,ds,9.379533344818597e-05,0.0014069300017227895
schaft,Mitgliedschaft,19,ds,9.379533344818597e-05,0.0017821113355155334
schaft,Kundschaft,2,ds,9.379533344818597e-05,0.00018759066689637193
heit,Bekanntheit,1,th,0.00315676206875349,0.00315676206875349
schaft,Bekanntschaft,5,ts,0.0003651000785788168,0.0018255003928940839
schaft,Ortschaft,9,ts,0.0003651000785788168,0.003285900707209351
heit,Persönlichkeit,12,hk,0.0,0.0
heit,Freiheit,32,ih,0.00042285672949348856,0.013531415343791634
heit,Gemeinsamkeit,2,mk,0.0,0.0
heit,Echtheit,1,th,0.00315676206875349,0.00315676206875349
schaft,Herrschaft,24,rs,0.0017554444668549775,0.04213066720451946
heit,Klarheit,2,rh,6.10900876295475e-05,0.000122180175259095
heit,Verschiedenheit,2,nh,3.263117639229065e-06,6.52623527845813e-06
schaft,Landschaft,60,ds,9.379533344818597e-05,0.005627720006891158
heit,Sicherheit,48,rh,6.10900876295475e-05,0.00293232420621828
heit,Möglichkeit,128,hk,0.0,0.0
heit,Ganzheit,1,zh,0.0,0.0
heit,Genauigkeit,2,gk,0.0,0.0
heit,Gleichheit,3,hh,0.0,0.0
heit,Schnelligkeit,1,gk,0.0,0.0
heit,Richtigkeit,2,gk,0.0,0.0
schaft,Eigenschaft,39,ns,0.005648159418212446,0.2202782173102854
heit,Schönheit,9,nh,3.263117639229065e-06,2.9368058753061587e-05
heit,Wirklichkeit,13,hk,0.0,0.0
schaft,Kindschaft,6,ds,9.379533344818597e-05,0.0005627720006891158
heit,Kindheit,8,dh,2.543550351367654e-05,0.00020348402810941232
heit,Kleinigkeit,4,gk,0.0,0.0
heit,Neuheit,1,uh,0.0025197728153931124,0.0025197728153931124
heit,Neuigkeit,3,gk,0.0,0.0
